data_date,marketing,plan
20170301,-1,0
20170302,-1,0
20170303,-1,0
20170304,-1,0
20170305,-1,0
20170306,-1,0
20170307,-1,0
20170308,-1,0
20170309,-1,0
20170310,-1,0
20170311,-1,0
20170312,-1,0
20170313,-1,0
20170314,-1,0
20170315,-1,0
20170316,-1,0
20170317,-1,0
20170318,-1,0
20170319,-1,0
20170320,-1,0
20170321,-1,0
20170322,-1,0
20170323,-1,0
20170324,-1,0
20170325,-1,0
20170326,-1,0
20170327,-1,0
20170328,-1,0
20170329,-1,0
20170330,-1,0
20170331,-1,0
20170401,-1,0
20170402,-1,0
20170403,-1,0
20170404,-1,0
20170405,-1,0
20170406,-1,0
20170407,-1,0
20170408,-1,0
20170409,-1,0
20170410,-1,0
20170411,-1,0
20170412,-1,0
20170413,-1,0
20170414,-1,0
20170415,-1,0
20170416,-1,0
20170417,3,1
20170418,3,1
20170419,3,1
20170420,3,2
20170421,3,2
20170422,3,2
20170423,3,3
20170424,3,3
20170425,-1,0
20170426,-1,0
20170427,-1,0
20170428,-1,0
20170429,-1,0
20170430,-1,0
20170501,-1,0
20170502,-1,0
20170503,-1,0
20170504,-1,0
20170505,-1,0
20170506,-1,0
20170507,-1,0
20170508,-1,0
20170509,-1,0
20170510,-1,0
20170511,-1,0
20170512,-1,0
20170513,-1,0
20170514,-1,0
20170515,-1,0
20170516,-1,0
20170517,-1,0
20170518,-1,0
20170519,-1,0
20170520,-1,0
20170521,-1,0
20170522,5,1
20170523,5,1
20170524,5,1
20170525,5,1
20170526,5,1
20170527,5,1
20170528,5,1
20170529,5,1
20170530,5,1
20170531,5,1
20170601,5,2
20170602,5,2
20170603,5,2
20170604,5,3
20170605,5,3
20170606,5,3
20170607,5,3
20170608,5,3
20170609,5,3
20170610,5,3
20170611,5,3
20170612,5,3
20170613,5,3
20170614,5,3
20170615,5,3
20170616,5,3
20170617,5,3
20170618,5,3
20170619,5,3
20170620,5,3
20170621,5,3
20170622,5,3
20170623,5,3
20170624,5,3
20170625,5,3
20170626,5,3
20170627,0,0
20170628,0,0
20170629,0,0
20170630,0,0
20170701,-1,0
20170702,-1,0
20170703,-1,0
20170704,-1,0
20170705,-1,0
20170706,-1,0
20170707,-1,0
20170708,-1,0
20170709,-1,0
20170710,-1,0
20170711,-1,0
20170712,-1,0
20170713,-1,0
20170714,-1,0
20170715,0,0
20170716,0,0
20170717,0,0
20170718,0,0
20170719,0,0
20170720,0,0
20170721,0,0
20170722,0,0
20170723,0,0
20170724,0,0
20170725,0,0
20170726,0,0
20170727,0,0
20170728,0,0
20170729,0,0
20170730,0,0
20170731,0,0
20170801,0,0
20170802,-1,0
20170803,-1,0
20170804,-1,0
20170805,-1,0
20170806,-1,0
20170807,-1,0
20170808,-1,0
20170809,-1,0
20170810,3,1
20170811,3,1
20170812,3,1
20170813,3,1
20170814,3,2
20170815,3,2
20170816,3,2
20170817,3,2
20170818,3,2
20170819,3,2
20170820,3,2
20170821,3,2
20170822,3,2
20170823,3,2
20170824,3,2
20170825,3,2
20170826,3,3
20170827,3,3
20170828,3,3
20170829,3,3
20170830,3,3
20170831,3,3
20170901,-1,0
20170902,-1,0
20170903,-1,0
20170904,-1,0
20170905,-1,0
20170906,-1,0
20170907,-1,0
20170908,-1,0
20170909,-1,0
20170910,-1,0
20170911,-1,0
20170912,-1,0
20170913,-1,0
20170914,-1,0
20170915,3,1
20170916,3,1
20170917,3,1
20170918,3,1
20170919,3,2
20170920,3,2
20170921,3,2
20170922,3,2
20170923,3,2
20170924,3,2
20170925,3,3
20170926,3,3
20170927,3,3
20170928,-1,0
20170929,-1,0
20170930,-1,0
20171001,-1,0
20171002,-1,0
20171003,-1,0
20171004,-1,0
20171005,-1,0
20171006,-1,0
20171007,-1,0
20171008,3,1
20171009,3,1
20171010,3,2
20171011,3,2
20171012,3,2
20171013,3,2
20171014,3,2
20171015,3,3
20171016,3,3
20171017,3,3
20171018,3,3
20171019,3,3
20171020,-1,0
20171021,-1,0
20171022,-1,0
20171023,-1,0
20171024,-1,0
20171025,-1,0
20171026,-1,0
20171027,-1,0
20171028,-1,0
20171029,-1,0
20171030,-1,0
20171031,-1,0
20171101,6,1
20171102,6,1
20171103,6,1
20171104,6,1
20171105,6,1
20171106,6,1
20171107,6,1
20171108,6,1
20171109,6,1
20171110,6,1
20171111,6,1
20171112,6,1
20171113,6,1
20171114,6,1
20171115,6,1
20171116,6,1
20171117,6,1
20171118,6,1
20171119,6,1
20171120,6,1
20171121,6,1
20171122,6,1
20171123,6,2
20171124,6,2
20171125,6,2
20171126,6,2
20171127,6,3
20171128,6,3
20171129,-1,0
20171130,-1,0
20171201,-1,0
20171202,-1,0
20171203,-1,0
20171204,3,1
20171205,3,1
20171206,3,1
20171207,3,1
20171208,3,1
20171209,3,1
20171210,3,1
20171211,3,2
20171212,3,2
20171213,3,2
20171214,5,1
20171215,5,1
20171216,5,1
20171217,5,1
20171218,5,1
20171219,5,1
20171220,5,1
20171221,5,1
20171222,5,1
20171223,5,2
20171224,5,2
20171225,5,2
20171226,5,2
20171227,5,3
20171228,5,3
20171229,5,3
20171230,5,3
20171231,5,3
20180101,-1,0
20180102,-1,0
20180103,-1,0
20180104,-1,0
20180105,-1,0
20180106,-1,0
20180107,-1,0
20180108,-1,0
20180109,-1,0
20180110,-1,0
20180111,-1,0
20180112,-1,0
20180113,-1,0
20180114,-1,0
20180115,-1,0
20180116,-1,0
20180117,-1,0
20180118,-1,0
20180119,-1,0
20180120,-1,0
20180121,-1,0
20180122,-1,0
20180123,-1,0
20180124,-1,0
20180125,-1,0
20180126,-1,0
20180127,-1,0
20180128,-1,0
20180129,-1,0
20180130,-1,0
20180131,-1,0
20180201,1,0
20180202,1,0
20180203,1,0
20180204,1,0
20180205,1,0
20180206,1,0
20180207,1,0
20180208,1,0
20180209,1,0
20180210,1,0
20180211,1,0
20180212,1,0
20180213,1,0
20180214,1,0
20180215,1,0
20180216,1,0
20180217,1,0
20180218,1,0
20180219,1,0
20180220,1,0
20180221,1,0
20180222,1,0
20180223,1,0
20180224,1,0
20180225,1,0
20180226,1,0
20180227,1,0
20180228,1,0
20180301,1,0
20180302,1,0
20180303,1,0
20180304,1,0
20180305,1,0
20180306,1,0
