sku_id,week1,week2,week3,week4,week5
SKDtK67I,0,0,0,0,0
SKpLKkIS,0,0,0,0,0
SK2vQMpX,0,0,0,0,0
SKY0RuBE,0,0,0,0,0
SKvr2o3y,0,0,0,0,0
SK4VKk3b,0,0,0,0,0
SKDbZjmX,0,0,0,0,0
SK9wkGUJ,0,0,0,0,0
SKjQriLy,0,0,0,0,0
SKGy1eQD,0,0,0,0,0
SKd8KLXp,0,0,0,0,0
SK6ry4mi,0,0,0,0,0
SKOpvNGo,0,0,0,0,0
SKMF0WaA,0,0,0,0,0
SKdm0HJM,0,0,0,0,0
SKBkZXdJ,0,0,0,0,0
SKSbGnOU,0,0,0,0,0
SKxSE825,0,0,0,0,0
SKAP7e14,0,0,0,0,0
SKPvgBf1,0,0,0,0,0
SKTJmOZN,0,0,0,0,0
SKTGcMxs,0,0,0,0,0
SKbr7XBs,0,0,0,0,0
SKXszyvc,0,0,0,0,0
SKA6jHsc,0,0,0,0,0
SKiKBu9I,0,0,0,0,0
SKhAngXl,0,0,0,0,0
SK4miVwF,0,0,0,0,0
SKwDEoBI,0,0,0,0,0
SKu5GlI2,0,0,0,0,0
SK3xb5Jf,0,0,0,0,0
SK3evXSA,0,0,0,0,0
SK7gVfC3,0,0,0,0,0
SKcGq16m,0,0,0,0,0
SKosUGl9,0,0,0,0,0
SKCYDAHr,0,0,0,0,0
SKYU9hyA,0,0,0,0,0
SKYXQCg4,0,0,0,0,0
SKH37eGj,0,0,0,0,0
SKg1RibZ,0,0,0,0,0
SK0cCvYA,0,0,0,0,0
SKJU7FEm,0,0,0,0,0
SKQxq6Pg,0,0,0,0,0
SKJ7dZBQ,0,0,0,0,0
SKIqUyLB,0,0,0,0,0
SKOYQqE8,0,0,0,0,0
SKoaRlsZ,0,0,0,0,0
SKwg6A0Y,0,0,0,0,0
SKlto8K2,0,0,0,0,0
SKuxfG2D,0,0,0,0,0
SKCMjAGm,0,0,0,0,0
SKYVpykS,0,0,0,0,0
SKz7OsiP,0,0,0,0,0
SK9MrRnm,0,0,0,0,0
SKeAt2xw,0,0,0,0,0
SKlZfP1n,0,0,0,0,0
SKhMjDd3,0,0,0,0,0
SK86UuSQ,0,0,0,0,0
SKyx3zKk,0,0,0,0,0
SKjQJ90D,0,0,0,0,0
SKBX3YE2,0,0,0,0,0
SKUuR1rC,0,0,0,0,0
SKilS7xk,0,0,0,0,0
SKZzH2Fv,0,0,0,0,0
SK3zhBaD,0,0,0,0,0
SKFSduGL,0,0,0,0,0
SK0nZ71Y,0,0,0,0,0
SK7dCMs2,0,0,0,0,0
SKe9hQWP,0,0,0,0,0
SKve5JG4,0,0,0,0,0
SKCb5pEz,0,0,0,0,0
SKGyZf2i,0,0,0,0,0
SKKbpMk6,0,0,0,0,0
SKJxC02Q,0,0,0,0,0
SKQOkef5,0,0,0,0,0
SKUfTpau,0,0,0,0,0
SK74rESO,0,0,0,0,0
SKvjzn0I,0,0,0,0,0
SKgzXlVZ,0,0,0,0,0
SKNKd1G0,0,0,0,0,0
SKr1478k,0,0,0,0,0
SKd8RgbS,0,0,0,0,0
SKbkqIjF,0,0,0,0,0
SKPxnK8C,0,0,0,0,0
SKikKGZs,0,0,0,0,0
SKDuMezE,0,0,0,0,0
SKtLxTqG,0,0,0,0,0
SK5d6YPo,0,0,0,0,0
SKsqb3eH,0,0,0,0,0
SKrA3Y8t,0,0,0,0,0
SKl1KVfr,0,0,0,0,0
SKxrq736,0,0,0,0,0
SKgRiHTF,0,0,0,0,0
SK0DkOr8,0,0,0,0,0
SKJp8DAC,0,0,0,0,0
SKYPMspO,0,0,0,0,0
SKGXtBau,0,0,0,0,0
SKeLBDZn,0,0,0,0,0
SK2qvDN7,0,0,0,0,0
SKWgMBeZ,0,0,0,0,0
SKYJKsUw,0,0,0,0,0
SK5WbX0s,0,0,0,0,0
SKH3qnLx,0,0,0,0,0
SK58kYT7,0,0,0,0,0
SK1WI7LA,0,0,0,0,0
SKPC90Kz,0,0,0,0,0
SKcuvxpH,0,0,0,0,0
SKzKmgGD,0,0,0,0,0
SK960J5B,0,0,0,0,0
SKPGAu98,0,0,0,0,0
SKYmoB9f,0,0,0,0,0
SKJsPgGv,0,0,0,0,0
SKZKLnEo,0,0,0,0,0
SKJwfVea,0,0,0,0,0
SKeNJuib,0,0,0,0,0
SKmjusiE,0,0,0,0,0
SK7OWBlP,0,0,0,0,0
SKZnTa9M,0,0,0,0,0
SKJwoujH,0,0,0,0,0
SKUtTYhf,0,0,0,0,0
SKRvrU18,0,0,0,0,0
SKmVdbor,0,0,0,0,0
SKDWkZwO,0,0,0,0,0
SKFc917k,0,0,0,0,0
SKRiS7Ps,0,0,0,0,0
SKyKJV7R,0,0,0,0,0
SKSFHi3x,0,0,0,0,0
SKd4NRpf,0,0,0,0,0
SKUFJIwy,0,0,0,0,0
SKtVIE4L,0,0,0,0,0
SKDvKQdC,0,0,0,0,0
SK7AqSjQ,0,0,0,0,0
SK9md2f0,0,0,0,0,0
SKbUcX5L,0,0,0,0,0
SKBKWEd1,0,0,0,0,0
SKpUXzdx,0,0,0,0,0
SKUg1xC8,0,0,0,0,0
SKANCUzy,0,0,0,0,0
SKtuqyO2,0,0,0,0,0
